Parameter	HHb_mu	HHb_mu_star	HHb_sigma	HHb_mu_star_conf	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	HbO2_mu	HbO2_mu_star	HbO2_sigma	HbO2_mu_star_conf	Vmca_mu	Vmca_mu_star	Vmca_sigma	Vmca_mu_star_conf
Gn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
h_0	844.6626098576193	2832.199721242708	18247.56925474822	3430.7870584781713	-0.7817573333447347	5.748014220439926	21.076304208211447	4.03891941881042	813.8068473697921	3112.8123863997125	18382.63256199517	3482.6511534560805	-506.26445974729984	1019.5996004789183	5324.628962292734	1003.2659872899588
H_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
h_n	-35.054763136623585	35.054763136623585	350.547631366236	62.930785728555705	-0.9402435662410847	0.9402435662410847	9.402435662410852	1.841917260260165	-37.506690684968994	37.506690684968994	375.06690684969004	76.70344722152791	-48.01228264725808	48.01228264725808	480.1228264725809	93.11926119342147
J_O2n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k1_n	767.3571050186649	767.3571050195386	7402.936392338869	1454.4027058256233	0.47488884054918534	10.71577383790495	20.111591792945614	3.408731840973926	71177.43387255723	71226.16328616356	712017.9600572471	139891.02746755996	439860807.4376141	439860822.6082512	4398608084.641355	841134396.8599156
k2_n	2176.357944833408	2176.3579872228443	21747.201577856416	4100.682726857707	-0.6479964890527	0.9023743073225193	7.0841896522582175	1.2976142058442235	2164.176554377724	2167.244054829308	21656.704521012718	4052.426710046012	41.65446754142389	42.617072494132316	417.14793332742096	81.2174612887453
k3	-42.98905754376977	42.98905754376977	429.8905754376971	89.1800300945465	-3.576123176265026	3.576123176265026	35.761231762650326	6.6076812253358765	-17.572787646644016	17.572787646644016	175.72787646644073	34.04149830198173	-44.956141998425075	44.956141998425075	449.561419984249	90.85100278532857
k30	1409.977995549045	1410.5790461428364	13872.647091748046	2654.6170641387553	1.5344696374731281	2.290270987436807	9.61237100049739	1.8292471761454887	1457.6437191564348	1469.4042626112005	13790.330507207487	2668.0223540409293	47.93074522615379	51.01286831757473	371.92878230145993	71.19252054639128
K_G	-4419.4612551364435	4961.324565612021	45537.54529185447	9011.65924214203	-0.7655759335250856	3.712585193783853	9.322550741097597	1.6597823522159552	-4165.129898460628	5061.553384886942	46157.5808521476	8802.488083788146	-76.31172472058758	413.7542934633052	889.6748613068444	152.70593867795674
k_lk2	40.711923282343534	156.20518906763132	602.1144976263522	115.68770330807236	2.8895295534455516	7.924313741595984	21.215671993024017	3.850381535428599	-37.88490215480665	138.49809372535793	524.5428529314488	95.46409058749794	-0.15116868066117461	144.71423551939466	720.3734994886212	136.71749303880156
K_sigma	-1711.4094040458353	2600.71804487269	16205.408830726776	3182.6653505626437	-1.4508812033222216	3.1722247988435295	11.329483941503186	2.1787216798008346	-2040.6829373625237	3027.8843676460583	17038.040608449573	3354.3576788010414	-3621.2974867453595	4189.000610420385	36245.38428134006	7065.3246303084625
k_aut	656.6085703216032	918.2651060344557	7797.998065444142	1533.3670906383254	-5.543110276185747	7.692534330007406	32.54988129606584	6.396754116600698	721.174894856204	1125.3989200262117	7781.008265006641	1524.1658246218865	-207.4388205486292	392.7822861580686	1049.9434881770433	191.06457326074306
k_unc	13.870234178520457	13.873795236681707	19.220661939307966	3.781699118990041	0.2731684972171403	0.9431490087536792	1.657197843702375	0.2742173737130179	-12.31872353280218	12.394108939106012	18.45401268873484	3.5926997034597186	1.1819556963105697	7.024700658728326	15.771843971126826	2.734688389791084
kCV	35.054763136623585	35.054763136623585	350.547631366236	68.04554816505863	0.9402435662410847	0.9402435662410847	9.402435662410852	1.9051515355934026	37.506690684968994	37.506690684968994	375.06690684969004	72.66000824452775	48.01228264725808	48.01228264725808	480.1228264725809	95.8657138043643
Keq1_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Keq2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L_CV0	725.771747903639	726.17378465869	7253.864636537637	1386.3931653450277	-0.3004454350553165	0.33821294703765675	2.9941759581195866	0.6011477648103473	71130.82139412407	71131.89427548739	711311.6581683921	143690.19605685127	439860792.4130857	439860793.0714092	4398607925.875322	863010062.4078958
L_CVfrac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L_CVmax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L_CVn	-1.9315139448047183	113.58208690446624	509.9394415798256	96.29375528622353	-1.6624115843844902	5.48847755656565	19.48325164695221	3.506003145220199	-113.97884257325009	114.57534336991581	516.3248608752826	104.36008402113508	-102.15878955390214	126.32023148722928	691.2947896174437	137.39758408758254
L_lk0	121.75285764225569	131.14754557975166	710.410914167234	144.6585263978078	4.721581822816907	6.726952262596605	38.38846641249318	7.8037022405294545	-6.244192401204417	253.97279362923265	1464.9456486651145	284.5736039805128	-193.49895382631883	446.98109556978363	3271.057430914199	641.7956717636189
L_lkfrac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L_lkn	-35.054763136623585	35.054763136623585	350.547631366236	68.46148717394122	-0.9402435662410847	0.9402435662410847	9.402435662410852	1.762049693651767	-37.506690684968994	37.506690684968994	375.06690684969004	70.56978235612696	-48.01228264725808	48.01228264725808	480.1228264725809	93.75316977888674
L_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mu_max	563124.3435993611	563132.440985154	5627757.955054443	1083524.6690860644	0.5475254424569447	4.142231841266604	17.56530884657365	3.373850848786294	563145.0578607759	563271.641021721	5628222.51508798	1094205.949120642	495.8819448974867	639.9688949556856	3437.278961003149	633.0874897246526
n_h	2016.7501714947807	2242.4252494989382	16558.71126252972	3255.238026122236	3.950202032604857	8.465398827055171	34.1771335184483	6.664886620758118	2108.5954282601047	2239.0898952829393	16377.226895877257	3074.9314563810603	242.7511669091691	529.6207459328471	1821.2475620980756	348.6233831105967
n_m	795.2812514462137	2379.0970076698395	15430.410285920549	3180.7471820332353	-3.9544219623114714	9.155071216658065	38.70805033118658	7.761314924324115	455.74486407916675	2611.891676454772	15768.966534053647	2930.870908863955	-137.480135434482	636.1100678302089	2704.7110858962933	523.5719035777784
NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NADHn	-33.60453680269561	33.60503828633972	65.10658233841349	12.214114554173724	-2.883931365710962	13.031695483343702	20.42387508031123	3.12390609944724	-81.39048930389296	134.84149717607988	1082.1603316792534	215.0136051318647	-284.60742691893	297.39326488806995	2825.146746916222	556.6450822622236
NADNADHrat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NADNADHratn	7.748192151396491	91.23685143890269	521.8571132580215	98.38696882099369	-0.6877009574817707	11.959586732912769	24.55857228112601	4.14949679740464	-31.44904040034956	110.40996689409927	724.1325039230676	140.90355194943035	27.739103763486554	83.06554463778163	516.5874701179275	99.0264658774466
NADpool	-1402.2188520002328	1457.1130686039364	10477.061633934884	2091.0545735103474	0.9267911279249461	10.034333528475491	15.06404581943793	2.2224946793609943	-1543.2482299680978	1543.6444826297925	11025.937920605524	2123.5114736209202	-206.5383138177092	213.24205949497716	1533.3050758357726	289.1435691671962
O2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O2c_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P_1n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P_an	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_C1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_C3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P_ic	-688.6444786448338	1510.3378156036376	6643.742526082568	1251.2814120604708	1.9733769934228331	9.013332309802324	37.49609971904876	6.918187098661905	-670.1454810063807	1934.9877003689398	7077.693457973817	1371.77622195376	-917.9986479234757	1579.190696043396	9570.598524544048	1865.519805654604
P_icn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_tot	-459.29316695212606	516.0007048778384	2854.912424056242	575.1836224146012	3.160847152757795	23.75773615287992	41.73322231150381	6.5649942116517925	-71.24928023507518	579.4143232365149	3258.383710700812	635.3974131290529	-163.4404204439761	415.8108432876862	2279.16242648591	444.7699407818909
p_totNADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P_v	-47.808662991943194	101.89278092158969	727.6060106344698	141.25467845236963	-3.8375005409669063	3.8860038979205145	31.267380465925	6.318341796478518	-139.58428801953448	361.6889402365421	2061.1025439210302	387.77813443005374	46.368087584954964	833.576641056896	5639.585664308009	1050.1044522217817
P_vn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pa_CO2n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pH_mn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pH_o	-1333979.5170230868	1334024.1805142493	13299942.658069175	2545614.7044648323	0.30035588267150015	3.6665443377248526	14.110391914007149	2.656798498177186	-1334015.7061221066	1334293.9462794263	13299785.288830176	2595056.9986736365	-120.97513165059385	307.3685267552504	1251.466948160257	245.62291280752436
pH_on	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
phi	9196.988833278774	9885.64852148335	85636.50148269265	16185.740321269652	5.277700620871104	12.659107307867396	36.71704511917644	6.851353318523393	9027.219379595686	10044.465770023866	85718.85224586242	16613.899283853927	160.88239137884898	334.4073083010405	1006.9369258170079	181.53425610177152
r_0	1042.7403818349296	2203.6941631841164	11455.708195528005	2229.7471232205953	-4.588631736675269	12.714429807075323	28.69164138482494	5.319560077740092	1398.3713554907108	2974.620404679703	12754.354497201597	2525.447752146524	-218.16744184594708	1605.7849229480614	4834.595047662147	852.8857273959891
R_autc	449.6701120160989	470.8357991571645	2933.5223442617144	576.271056089187	0.44475979208017447	1.0745733003989242	7.040448544384324	1.3524675335325806	452.9441958516452	455.1182090484157	2899.8470176050187	571.7097760428549	44.00878658492073	98.31143666934912	481.3539541769744	87.97663462357349
R_auto	2274903.6068402696	2275109.5989539064	22733803.143400118	4515231.94318662	-1.1719098766392018	2.5179499491962867	11.928934186930048	2.267386240972674	2274867.3093316127	2275273.6448116265	22734186.856010493	4392831.581779253	-70.1196818756049	311.4892136092045	1441.057290966461	278.08565410673697
R_autp	-3936897.795270716	3937349.0960463686	39366160.417442136	7292958.120958559	-2.2617274818972852	2.934566181326078	21.12395277630585	4.13912518191218	-3937072.464485337	3937594.947774135	39366142.983297236	7592262.723071441	-287.8543988957552	331.99304850636736	2648.390347371414	511.55787652500936
R_autu	-1897.618237205357	2488.888589462	21953.26119368339	4199.310299316572	-2.88737739789179	5.138403677315673	24.75352350626478	4.642187350740154	-1919.11144143375	2745.0950723801357	21922.292200889766	4256.678454778683	176.87122239573225	884.8625195095466	5565.703904297643	1083.0687453475641
r_CV	35.26270688454423	73.22498329347759	380.7677933497046	72.33953447669546	2.031188762650186	4.145285726402053	21.765787008476597	4.158461281548808	105.80198538141447	278.12533864568303	1407.9762973896425	273.51245160312055	115.82958741257755	190.23618334154955	956.7048072971919	183.4948037782388
r_m	-810.7191109492009	6247.349054473689	34666.52870251569	6768.507240006893	1.2637593815653936	8.499745527791578	23.32786434760294	4.2020070219423395	-587.1234519184505	6648.369620265255	34931.10346529722	6655.007808257673	139.01340568236637	999.9055791956292	2334.3239241019382	398.47185299385706
r_n	-8.598576962129597	13.8602963105972	21.91827609126739	3.8609716238147516	0.0	0.0	0.0	0.0	-505.7735160928636	505.7735160928636	742.9007080450984	140.89231978944593	0.0	0.0	0.0	0.0
r_t	-44211.16010994962	46728.49900892063	444694.2214320017	86484.91238417866	-5.976881710216059	20.574278807059116	41.59164662988833	7.323510062062258	-43452.34898524841	47704.56640536224	445216.61411981104	85174.61174920687	2140.7009188693482	5125.038879658715	33731.92057339263	6583.624887154213
SaO2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ScO2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sigma_coll	-2410.3995669814844	2481.465966793869	11235.586502382675	2142.870721947395	-1.4736861878571756	1.8861811326275484	7.504580151558718	1.4528182602869053	-2573.801208920833	2820.45017387937	12115.860319189114	2374.251531881465	-1213.4068855369594	1262.1793731179773	11222.959356224294	2186.941683450043
sigma_e0	414.5765913490236	3709.1363983173637	24324.58281442005	4786.466970290478	5.126579592604592	7.052588132201845	37.850573618691875	7.437233341394867	369.58273006273345	4053.689376623436	25098.758041244233	4896.499487762527	-1272.6120136148286	1542.0500794695226	11198.547484833322	2177.9698862812015
sigma_en	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SvO2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
t_c	-1.807215100931067	11.708804396532855	69.46811852403067	14.057111582972928	-2.7766057590055895	2.8018326025770004	27.852206926694002	5.437622121004768	24.171796645479986	144.25775221330787	950.7741080693146	187.86449040827827	62.304616822160305	454.8480390663579	2997.3447265503305	573.3264418409321
T_en	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T_max0	-1099.4738140119289	2855.7181383822895	13494.919037708856	2734.166107352365	-0.9191437103649791	11.182688435184424	37.63279163727857	7.080169706092743	-1462.2364748194482	3487.670190254181	13949.487393211062	2743.0104228771534	-503.65164974341246	1552.2085395488011	5801.618563810983	1080.314674171832
T_maxn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T_mn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
t_o	0.12597549127212992	0.15679182309808504	0.38971957209602104	0.07260414248126419	0.0008358199133100607	0.010892173931725526	0.05109876507735756	0.010070382665249372	0.2815514426495558	0.2909912103798864	0.4451116703670855	0.08567516676820504	2.556917128640066	2.7059656446684937	7.0536559578872735	1.3811469537828966
t_p	-48.53290645187025	49.61685809013929	490.5320446682229	91.06910923255796	-1.0289276495116801	1.0575102370974325	10.424469258180169	1.9726568481787474	-16.30907380140602	16.43348588600435	161.7056781147213	31.885234896709427	-45.8482657504371	51.234496354589254	485.5904350528031	98.32257918166944
t_u	-35.054763136623585	35.054763136623585	350.547631366236	68.0261014995263	-0.9402435662410847	0.9402435662410847	9.402435662410852	1.8121871524235231	-37.506690684968994	37.506690684968994	375.06690684969004	75.83350909750416	-48.01228264725808	48.01228264725808	480.1228264725809	92.82957274405334
u_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
v_cn	-553.9241982783929	2893.5243263724965	14272.86620178044	2774.356750580024	4.4253752765832335	14.343043911570945	44.51681046481358	8.55561296796625	-511.7038106516382	3401.8150332430496	14307.565611751623	2746.9288247346444	-17.688109733084865	793.4839841246359	2235.6394129719333	413.51484685107175
v_on	12488.743072357753	17433.79566458895	108440.77595043943	20892.5477962236	-4.2862136002227995	4.919653609925844	17.420824912590167	3.3258664492999004	12470.164508669923	17600.52400108745	108323.24066003166	21102.866163767587	-150.05855519519417	412.82549529234666	1392.5931182693612	262.3110360640162
v_pn	-3398.736702063692	7412.97385419107	53274.81061546316	10105.63658536511	-11.949103264245942	14.855121514730373	44.629670179458614	8.438762720964423	-3207.495948846311	7939.309943991646	53999.35016049555	10240.055356003062	-14.896084011477724	742.1663399997758	1859.2451538495864	322.09296428366713
v_un	-2824.7564309478284	2903.5248809712634	27902.751803658524	5391.534615191841	3.1283285163471355	3.5668784827424798	15.23927525106803	2.9302375875497133	-2722.088643105927	3059.314750267338	27788.648550382793	5586.338767700306	149.23669225731118	337.44121722671457	1900.0563892037942	370.32252515331925
Vol_mit	3944477.0091709425	3946747.7262935406	39428192.381378524	7446430.015577928	0.646375345262066	36.90994734817397	49.087365834175046	6.211440882947774	3944390.771637769	3946655.00670137	39428033.950519755	7623866.576747231	-8.91079425880725	311.8437725052752	1102.2412323666713	202.8617350780045
XOa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XOa_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XOv_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xtot	1040.393611172688	10582.25664889273	59878.78967498673	11279.15893448366	-3.3084172099382134	9.62061373193179	25.6613612980179	4.6811069141059765	1599.0900770415244	11592.658505494437	60572.87129079932	11814.21120141821	-907.2903070629585	1942.178766863574	10711.291284731156	1994.679929848459
Xtot_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vmca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCO	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HbO2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HHb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
